x_1(area),x_2(bedrooms),x_3(floor),x_4(age),y(price)
155.1,3,18,15,354.62
172.6,4,6,27,361.22
56.9,1,33,1,196.82
168.9,4,27,14,414.99
90.1,1,11,27,173.83
68,1,7,5,180.68
104.6,3,17,2,309.75
136.5,3,6,35,270.05
153.2,3,13,4,365.01
81,2,6,14,218.99
108.4,3,24,10,291.65
77.7,2,5,10,209.09
84.1,3,25,17,255.6
155.2,4,15,20,381.7
179.7,3,3,20,382.3
51.9,2,21,13,173.22
111.2,3,10,16,263.99
174.1,4,17,27,403.9
111.9,2,9,32,223.99
176,3,10,10,417.31
116,2,25,24,265.45
124.2,3,1,7,319.5
136.7,3,22,7,344.83
68.5,1,17,32,143.93
131.4,2,20,32,272.04
67.5,1,1,20,145.89
60.1,1,20,15,143.27
198,3,6,31,408.38
216,4,9,30,468.09
69.7,2,28,13,220.7
175.9,4,13,19,403.58
160.9,3,29,33,342.47
84.6,1,22,1,238.86
81.4,2,1,4,232
50.6,1,3,21,99.83
82.8,3,14,34,176.2
208.4,5,16,30,472.99
74.3,1,28,22,172.99
124.1,2,7,3,304.87
101.1,2,16,12,243.23
120.8,3,12,17,292.29
197.4,3,29,35,391.04
157.4,4,1,5,410.47
192.8,4,27,31,421.77
195.6,3,11,24,394.16
110.3,3,19,27,265.42
171.5,4,32,9,425.34
79.2,1,4,20,153.82
145.2,4,11,3,402.15
54.4,1,5,4,167.43
82.3,1,16,2,228.84
115.5,3,17,13,303.01
96.6,2,26,8,269.26
94,2,5,0,257.7
219.7,3,5,34,418.33
87.7,2,5,15,210.16
68.4,2,20,33,134.8
187.1,4,7,8,438.3
200.1,4,18,18,460.75
169.2,3,17,32,351.35
203,3,6,27,426.66
47.9,1,9,16,114.04
119.5,3,1,7,289.21
199,4,3,23,434.97
66.7,1,3,19,143.79
208,3,23,13,474.75
160,3,27,9,409.13
82.6,2,12,26,169.97
172.6,3,27,15,394.89
181.7,3,25,2,459.57
80,3,23,19,236.14
196.8,4,2,12,447.78
90.1,1,18,22,201.27
111.9,3,2,7,305.19
87,2,3,6,235.28
102.2,3,28,32,226.12
201.9,4,17,2,502.14
40.3,2,13,23,115.87
210.8,4,21,7,510.75
94.1,2,27,20,229.47
93.2,2,13,26,212.9
108.2,2,20,25,243.49
40.1,1,14,27,102.27
149.2,3,30,28,332.88
78.5,3,11,5,235.32
159.5,4,22,5,427.16
175.2,4,20,14,433.6
66.5,1,16,30,138.51
178.3,3,27,12,428
109.1,3,16,9,299
41,1,28,14,121.73
212.4,5,4,35,439.49
192.7,5,9,29,436.29
217.8,4,29,32,464.2
203.2,5,11,30,446.76
175.3,4,18,33,378.79
83.1,3,5,18,208.42
100.5,2,9,9,244.63
164.9,4,14,4,418.16
99.6,3,27,3,287.73
115.6,2,25,30,230.29
103.3,3,27,34,245.65
138.3,2,32,14,321.57
127.4,3,22,25,303.99
191.3,4,2,25,416.25
159.3,3,28,8,408.75
72.7,2,25,20,182.48
98.8,3,18,26,230.12
54.7,1,4,22,111.33
52.4,2,3,1,196.71
75.9,1,10,15,166.16
160.5,4,14,29,365.48
178,3,8,10,425.53
59.5,1,20,24,134.58
168.7,3,16,6,414.36
94.3,1,3,22,192.92
159.1,3,33,21,353.04
115.6,3,7,27,274.87
154.4,3,10,27,318.86
